accuracy,algorithm,data,f1,fs_time,knn_time,model_time,precision,recall,sample,total_time
0.9182,SVM,mnist,0.917914379,0.0,0.0,50.88817406,0.91791384,0.9182,10000,50.89217591
0.9814,KNN+SVM,mnist,0.981378073,0.0,14.13622499,15.0324471,0.98147583,0.9814,10000,33.92888975
0.3,KNN+SVM,sun,0.278071026,0.0,0.055997372,116.0658789,0.276926372,0.3,500,116.1709342
0.262,SVM,sun,0.244043697,0.0,0.0,15.11097527,0.236675002,0.262,500,15.11397505
0.848072562,KNN+SVM,custom_ibm,0.840609683,0.0,0.022996187,0.417997837,0.835902759,0.848072562,441,0.468998909
0.868480726,SVM,custom_ibm,0.836903795,0.0,0.0,0.014999866,0.861462045,0.868480726,441,0.016000986
0.9486,RF,mnist,0.948566202,0.0,0.0,2.713871956,0.948729079,0.9486,10000,2.717873573
0.9777,KNN+RF,mnist,0.977680355,0.0,14.05110359,553.8222914,0.977717449,0.9777,10000,574.516206
0.376,KNN+RF,sun,0.335044435,0.0,0.059998989,49.46443176,0.358311898,0.376,500,49.57904768
0.368,RF,sun,0.307526075,0.0,0.0,0.358000517,0.383400959,0.368,500,0.360000849
0.958,RF,splice,0.958145163,0.0,0.0,0.126999855,0.958758243,0.958,1000,0.130000591
0.911,KNN+RF,splice,0.910549537,0.0,0.053998709,96.94408941,0.910985629,0.911,1000,97.10899329
0.747,KNN+SVM,splice,0.750348928,0.0,0.053998947,4.09654355,0.778138889,0.747,1000,4.190046072
0.815,SVM,splice,0.815375583,0.0,0.0,0.264992714,0.81607962,0.815,1000,0.269990921
0.825396825,RF,custom_ibm,0.782098362,0.0,0.0,0.117865086,0.767807186,0.825396825,441,0.118867397
0.843537415,KNN+RF,custom_ibm,0.787288133,0.0,0.023999453,42.66600561,0.811740978,0.843537415,441,42.72751451
0.804988662,KNN+TREE,custom_ibm,0.789927747,0.0,0.023999453,0.208017588,0.779281781,0.804988662,441,0.248020649
0.784580499,TREE,custom_ibm,0.763083731,0.0,0.0,0.001999855,0.746677955,0.784580499,441,0.002999544
0.7988,TREE,mnist,0.799476984,0.0,0.0,0.380012035,0.803307666,0.7988,10000,0.384012222
0.9345,KNN+TREE,mnist,0.934296086,0.0,14.24261928,2.981015205,0.93439569,0.9345,10000,21.98982382
0.2,KNN+TREE,sun,0.195526884,0.0,0.062996864,0.6012218,0.197062556,0.2,500,0.687220573
0.27,TREE,sun,0.233910951,0.0,0.0,0.046999931,0.227620225,0.27,500,0.050000191
0.814,TREE,splice,0.814925451,0.0,0.0,0.004000902,0.817259356,0.814,1000,0.008001089
0.75,KNN+TREE,splice,0.752512029,0.0,0.054000854,0.449451685,0.759462464,0.75,1000,0.544999123
0.511,SVM+FS1,splice,0.3456267372600926,66.59863781929016,0.0,0.0340006351470947,0.261121,0.511,1000,66.6376404762268
0.771,SVM+FS2,splice,0.7721061859232591,107.88097906112672,0.0,0.0199987888336181,0.7741020834197966,0.771,1000,107.90497732162476
0.788,SVM+RFE,splice,0.7887096416200002,6.587249279022217,0.0,0.027010440826416,0.7899542089962713,0.788,1000,6.620256662368774
0.793,KNN+SVM+RFE,splice,0.795434205788672,119.49666380882263,0.056998252868652344,0.8711974620819092,0.8011687298949582,0.793,1000,120.48986601829529
