accuracy,algorithm,data,f1,fs_time,knn_time,model_time,precision,recall,sample,total_time
0.9486,RF,mnist,0.948566202,0.0,0.0,2.713871956,0.948729079,0.9486,10000,2.717873573
0.9777,KNN+RF,mnist,0.977680355,0.0,14.05110359,553.8222914,0.977717449,0.9777,10000,574.516206
0.376,KNN+RF,sun,0.335044435,0.0,0.059998989,49.46443176,0.358311898,0.376,500,49.57904768
0.368,RF,sun,0.307526075,0.0,0.0,0.358000517,0.383400959,0.368,500,0.360000849
0.958,RF,splice,0.958145163,0.0,0.0,0.126999855,0.958758243,0.958,1000,0.130000591
0.911,KNN+RF,splice,0.910549537,0.0,0.053998709,96.94408941,0.910985629,0.911,1000,97.10899329
0.825396825,RF,custom_ibm,0.782098362,0.0,0.0,0.117865086,0.767807186,0.825396825,441,0.118867397
0.843537415,KNN+RF,custom_ibm,0.787288133,0.0,0.023999453,42.66600561,0.811740978,0.843537415,441,42.72751451
0.804988662,KNN+TREE,custom_ibm,0.789927747,0.0,0.023999453,0.208017588,0.779281781,0.804988662,441,0.248020649
0.784580499,TREE,custom_ibm,0.763083731,0.0,0.0,0.001999855,0.746677955,0.784580499,441,0.002999544
0.7988,TREE,mnist,0.799476984,0.0,0.0,0.380012035,0.803307666,0.7988,10000,0.384012222
0.9345,KNN+TREE,mnist,0.934296086,0.0,14.24261928,2.981015205,0.93439569,0.9345,10000,21.98982382
0.2,KNN+TREE,sun,0.195526884,0.0,0.062996864,0.6012218,0.197062556,0.2,500,0.687220573
0.27,TREE,sun,0.233910951,0.0,0.0,0.046999931,0.227620225,0.27,500,0.050000191
0.814,TREE,splice,0.814925451,0.0,0.0,0.004000902,0.817259356,0.814,1000,0.008001089
0.75,KNN+TREE,splice,0.752512029,0.0,0.054000854,0.449451685,0.759462464,0.75,1000,0.544999123
0.9401,SVM,mnist,0.939976306,0.0,0.0,222.7121751,0.940152723,0.9401,10000,222.7171781
0.9819,KNN+SVM,mnist,0.981883319,0.0,14.61953402,6.640233517,0.981910391,0.9819,10000,26.58323121
0.748,KNN+SVM,splice,0.749780209,0.0,0.053512335,1.007138968,0.771301222,0.748,1000,1.09967351
0.822,SVM,splice,0.822867633,0.0,0.0,0.128624678,0.825325664,0.822,1000,0.13162756
0.272,SVM,sun,0.250328174,0.0,0.0,3.426609516,0.253355413,0.272,500,3.429609776
0.328,KNN+SVM,sun,0.307458882,0.0,0.060997486,1.547139883,0.334108007,0.328,500,1.638160706
0.861678005,KNN+SVM,custom_ibm,0.833557649,0.0,0.025999784,0.297595263,0.843312549,0.861678005,441,0.338590622
0.873015873,SVM,custom_ibm,0.844461931,0.0,0.0,0.015997171,0.867626907,0.873015873,441,0.017998695
0.839002268,SVM+FS1,custom_ibm,0.765550774,1.953485727,0.0,0.008998871,0.703924805,0.839002268,441,1.96348691
0.839002268,SVM+FS2,custom_ibm,0.765550774,7.69009161,0.0,0.009000301,0.703924805,0.839002268,441,7.701093674
0.839002268,SVM+RFE,custom_ibm,0.765550774,0.350515127,0.0,0.008997917,0.703924805,0.839002268,441,0.360512733
0.841269841,KNN+SVM+RFE,custom_ibm,0.778846413,8.698705196,0.023999453,0.219370842,0.804747342,0.841269841,441,8.960064173
0.839002268,KNN+SVM+FS1,custom_ibm,0.765550774,81.35945272,0.026999712,0.207998037,0.703924805,0.839002268,441,81.60645127
0.843537415,KNN+SVM+FS2,custom_ibm,0.783814825,423.6947694,0.023658752,0.196032524,0.817108453,0.843537415,441,423.9268048
0.794,KNN+SVM+FS2,splice,0.794927986,1226.998371,0.055000544,0.660672426,0.806813773,0.794,1000,1227.789038
0.713,KNN+SVM+FS1,splice,0.704660898,458.7090917,0.057999372,0.721073627,0.7146562,0.713,1000,459.5391879
0.784,KNN+SVM+RFE,splice,0.786146392,57.25830936,0.128000498,0.660365582,0.794015512,0.784,1000,58.10568213
0.951,RF+RFE,splice,0.95125299,6.581959724,0.0,0.134001017,0.952160983,0.951,1000,6.719960213
0.917,RF+FS2,splice,0.917417889,100.4491313,0.0,0.119000673,0.918426548,0.917,1000,100.5721338
0.338,SVM+FS1,sun,0.279049157,7004.128406,0.0,0.993225098,0.30254818,0.338,500,7005.123637
0.32,SVM+FS2,sun,0.259191293,1621.075251,0.0,0.907996416,0.283197898,0.32,500,1621.986246
0.308,SVM+RFE,sun,0.25425154,1044.614775,0.0,0.95395422,0.260784449,0.308,500,1045.572728
0.332,KNN+SVM+RFE,sun,0.314545307,728.3619244,0.059998989,0.785419464,0.337674932,0.332,500,729.2513344
0.328,KNN+SVM+FS2,sun,0.301074135,1437.308754,0.059998035,0.681634665,0.312421858,0.328,500,1438.106372
0.8104,TREE+RFE,mnist,0.810632289,239.9997866,0.0,0.201000214,0.811935813,0.8104,10000,240.2047889
0.7877,TREE+FS2,mnist,0.78759371,299.1317627,0.0,0.125011444,0.788291143,0.7877,10000,299.2607746
0.9251,LINEAR,mnist,0.924966034,0.0,0.0,36.88058424,0.925029912,0.9251,10000,36.88458323
0.9827,KNN+LINEAR,mnist,0.98268446,0.0,14.26769495,166.325592,0.982709409,0.9827,10000,186.826272
0.78,KNN+LINEAR,splice,0.782438718,0.0,0.053001881,21.25082207,0.799789925,0.78,1000,21.36027193
0.821,LINEAR,splice,0.821180279,0.0,0.0,2.051717043,0.821668582,0.821,1000,2.056717157
0.276,LINEAR,sun,0.248357224,0.0,0.0,3.407248735,0.235372232,0.276,500,3.410247564
0.378,KNN+LINEAR,sun,0.347736967,0.0,0.082000971,33.96408367,0.393696863,0.378,500,34.10615683
0.9466,KNN+TREE+FS2,mnist,0.946465787,7325.61998,14.19852734,2.155472517,0.946626879,0.9466,10000,7349.425093
0.782,LINEAR+RFE,splice,0.783881495,9.933888197,0.0,0.034997702,0.788559972,0.782,1000,9.973883867
0.783,LINEAR+FS2,splice,0.786275623,56.89471865,0.0,0.043005228,0.798345889,0.783,1000,56.94572449
0.334,LINEAR+FS2,sun,0.27987752,1477.979535,0.0,0.816000223,0.293436656,0.334,500,1478.800535
0.917,TREE+RFE,splice,0.917704134,0.149001598,0.0,0.002000093,0.920103623,0.917,1000,0.154999733
0.898,TREE+FS2,splice,0.898920145,3.116899729,0.0,0.001999617,0.903489416,0.898,1000,3.121896029
0.849,KNN+TREE+FS2,splice,0.849703675,854.1029711,0.067995071,0.361418962,0.854760565,0.849,1000,854.5873857
0.792,KNN+LINEAR+RFE,splice,0.7940974543480941,555.446964263916,0.05599713325500488,6.701042413711548,0.8006062237163574,0.792,1000,562.2718405723572
